source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,repeat,rmse_component
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3405919841047712,-1.0759837330656956,0.5646181236405834,0.5732600297967589,0.00864190615617555,14832,0,5055,0.3297040079476144,0.32895602424984594,0.33045199164538286,0.3390960167092343,0.34208795150030813,0.0007479836977684617,53248,"[0, 0, 13]","[1.0, 27.0]",2,13,2,0.5732600297967589
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.37159348366832723,-1.1739223540191717,0.46667950268710734,0.4753214088432829,0.00864190615617555,18145,0,6210,0.3142032581658364,0.31359896500212003,0.31480755132955274,0.3703848973408945,0.37280206999575993,0.0006042931637163518,65536,"[0, 0, 16]","[1.0, 33.0]",2,16,3,0.4753214088432829
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3946448398237141,-1.2467452195175868,0.39385663718869224,0.4024985433448678,0.00864190615617555,17122,0,5846,0.30267758008814294,0.3020409254780927,0.30331423469819324,0.3933715306036135,0.3959181490438146,0.0006366546100502746,61440,"[0, 0, 15]","[1.0, 31.0]",2,15,4,0.4024985433448678
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.34055796126686233,-1.0758762495609417,0.5647256071453373,0.5733675133015128,0.00864190615617555,14793,0,5052,0.32972101936656883,0.3289730256995934,0.3304690130335442,0.3390619739329116,0.3420539486008132,0.0007479936669753939,53248,"[0, 0, 13]","[1.0, 27.0]",2,13,5,0.5733675133015128
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.28234254284744864,-0.8919645717874756,0.7486372849188034,0.757279191074979,0.00864190615617555,18228,0,6210,0.3588287285762757,0.3582043100210313,0.35945314713152005,0.2810937057369599,0.2835913799579374,0.000624418555244366,65536,"[0, 0, 16]","[1.0, 33.0]",2,16,6,0.757279191074979
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.34072805768336945,-1.076413610936887,0.5641882457693921,0.5728301519255676,0.00864190615617555,14809,0,5079,0.3296359711583153,0.32888802730434524,0.3303839150122853,0.3392321699754294,0.3422239453913095,0.0007479438539700345,53248,"[0, 0, 13]","[1.0, 27.0]",2,13,7,0.5728301519255676
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.417517292108569,-1.319002899505307,0.3215989572009721,0.33024086335714764,0.00864190615617555,15838,0,5440,0.2912413539457155,0.2905683107093267,0.29191439718210427,0.41617120563579146,0.4188633785813466,0.0006730432363887817,57344,"[0, 0, 14]","[1.0, 29.0]",2,14,8,0.33024086335714764
real_raw,ibm_berlin,runtime_raw,5,1,4096,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3707692914941515,-1.1713186011015448,0.46928325560473416,0.4779251617609097,0.00864190615617555,18238,0,6228,0.31461535425292425,0.31401084500022386,0.31521986350562464,0.3695602729887507,0.3719783099995523,0.0006045092527003915,65536,"[0, 0, 16]","[1.0, 33.0]",2,16,9,0.4779251617609097
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.37087236413647084,-1.1716442238162168,0.4689576328900622,0.47759953904623775,0.00864190615617555,18190,0,6195,0.3145638179317646,0.314137050276355,0.31499058558717413,0.37001882882565174,0.37172589944728995,0.0004267676554095545,131072,"[0, 0, 16]","[1.0, 33.0]",2,16,0,0.47759953904623775
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.37532234163245937,-1.1857024037548238,0.4548994529514552,0.4635413591076307,0.00864190615617555,27254,0,9281,0.3123388291837703,0.3120519684600867,0.31262568990745393,0.37474862018509214,0.3758960630798266,0.00028686072368361293,196608,"[0, 0, 24]","[1.0, 49.0]",2,24,1,0.4635413591076307
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3322809842535034,-1.0497279752592386,0.5908738814470404,0.599515787603216,0.00864190615617555,20406,0,7001,0.3338595078732483,0.33347293540095624,0.3342460803455404,0.33150783930891925,0.3330541291980875,0.00038657247229206826,147456,"[0, 0, 18]","[1.0, 37.0]",2,18,2,0.599515787603216
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.42528414659295555,-1.3435396163756532,0.2970622403306258,0.30570414648680133,0.00864190615617555,23702,0,8141,0.2873579267035222,0.28703873832061605,0.2876771150864284,0.4246457698271432,0.4259225233587679,0.000319188382906177,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,3,0.30570414648680133
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.3752034129940618,-1.1853266894506609,0.4552751672556181,0.46391707341179367,0.00864190615617555,22743,0,7780,0.3123982935029691,0.31205543965212873,0.31274114735380953,0.37451770529238093,0.37588912069574254,0.0003428538508404022,163840,"[0, 0, 20]","[1.0, 41.0]",2,20,4,0.46391707341179367
