task,quantity,family,mode,method,reps,data_qubits,objective_qubits,total_problem_qubits,phase_qubits,shots,phase_states,estimator_model,qae_mae_vs_analytic,qae_median_abs_error_vs_analytic,qae_mae_vs_exact,qae_median_abs_error_vs_exact,exact_mae_vs_analytic,qae_estimate_std,n_points,n_trials
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,8,2048,256,qpe_phase_register_mean_sampling,0.008965586133081538,0.003932743603633604,0.002463459810102824,0.0007896850115530207,0.008642349052901507,2.3558419732869504,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,8,8192,256,qpe_phase_register_mean_sampling,0.008901601827143796,0.004312112394359802,0.0011543864991364246,0.0004129423472160054,0.008642349052901507,2.355713917698953,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,10,512,1024,qpe_phase_register_mean_sampling,0.010142019579174127,0.004800916164326208,0.002472596488308746,0.0008225064478329658,0.008642349052901507,2.3545081985663288,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,10,2048,1024,qpe_phase_register_mean_sampling,0.010335130763692272,0.004950495547097367,0.001826310379408226,0.0006434232105796411,0.008642349052901507,2.3541352608278387,9,100
first_collision_1d,D1_depth_dose,chebyshev,theta,qGAN,8,5,1,6,10,8192,1024,qpe_phase_register_mean_sampling,0.010424550035014517,0.005032662912998642,0.001784623704438722,0.0007361526468213642,0.008642349052901507,2.3540246043886217,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,4,512,16,qpe_phase_register_mean_sampling,0.016344796283021473,0.0059260753574790215,0.016123944273033295,0.006033995269638104,0.003824388767823178,2.3616167121787446,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,4,2048,16,qpe_phase_register_mean_sampling,0.008573287324672803,0.0029269140192850207,0.008525471757831603,0.002853180870224181,0.003824388767823178,2.363933679504475,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,4,8192,16,qpe_phase_register_mean_sampling,0.004641031829343498,0.0016220906361919668,0.004179421096471557,0.0013514791669969606,0.003824388767823178,2.3629170164788644,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,6,512,64,qpe_phase_register_mean_sampling,0.02947941412982574,0.013596694994939873,0.02565502536200256,0.011676945246823056,0.003824388767823178,2.332543456589084,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,6,2048,64,qpe_phase_register_mean_sampling,0.02889984150717003,0.014277996925698422,0.025075452739346856,0.012424558976733224,0.003824388767823178,2.33395070552893,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,6,8192,64,qpe_phase_register_mean_sampling,0.0292214594628161,0.01403477454684332,0.02539707069499292,0.012181336597878123,0.003824388767823178,2.333069113201965,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,8,512,256,qpe_phase_register_mean_sampling,0.008735032343638066,0.004020470075952742,0.004964005177242987,0.0020426611505111048,0.003824388767823178,2.3560524640628895,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,8,2048,256,qpe_phase_register_mean_sampling,0.008914745112538947,0.004447796420097072,0.005090356344715768,0.0025507964309544606,0.003824388767823178,2.355883364216394,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,8,8192,256,qpe_phase_register_mean_sampling,0.009003080046167943,0.004306424805440523,0.005178691278344765,0.0024529868564753254,0.003824388767823178,2.355664567139184,9,100
first_collision_1d,D1_depth_dose,fft,cos_q,HN-MLP,8,5,1,6,10,512,1024,qpe_phase_register_mean_sampling,0.003012201844605683,0.0011042610953120313,0.0018243276939042222,0.0006375663315222602,0.003824388767823178,2.3623966615845045,9,100
