task,quantity,family,mode,method,reps,data_qubits,objective_qubits,total_problem_qubits,phase_qubits,shots,phase_states,estimator_model,qae_mae_vs_analytic,qae_median_abs_error_vs_analytic,qae_mae_vs_exact,qae_median_abs_error_vs_exact,exact_mae_vs_analytic,qae_estimate_std,n_points,n_trials
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,HN-MLP,24,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.09243036626942358,0.005759650816107728,0.016001937293102106,0.0007184188652270725,0.10530615352880593,2.3625464280756585,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.6792490664470325,0.0796981958822473,0.5388621587125142,0.0644432965631612,0.15594577221952793,3.7986465096957738,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.6728620585097183,0.0813702178884993,0.5324751507751999,0.06517474800947301,0.15594577221952793,3.7687855662575354,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.6745785437232041,0.08167597737413748,0.5341916359886859,0.06528158597655548,0.15594577221952793,3.770657624602708,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.23720711693800445,0.014213281290840388,0.08604178636939495,0.0021000528182595207,0.15594577221952793,2.9098519146004618,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.2374954601661858,0.014506305259842207,0.0823148376185988,0.002218246489857613,0.15594577221952793,2.9080961305993527,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.23936692169974177,0.014501411091258562,0.08418992291567366,0.0022133523212739675,0.15594577221952793,2.9125570490443597,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.16049661162118686,0.01190869899828878,0.012301922757573096,0.0008818852784249764,0.15594577221952793,2.755312962611264,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.16009064446510007,0.011981593393197064,0.011239883165568097,0.0008539967607826653,0.15594577221952793,2.7536648263919137,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.15987498571198075,0.011993834598402059,0.010915949560381765,0.0009358013490076977,0.15594577221952793,2.753330312539298,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.1565006497150685,0.012146132782737518,0.0060781241962761315,0.00031433639583999806,0.15594577221952793,2.75938882237026,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.1570203886068953,0.0123257540565778,0.004779479430559416,0.0003009354526042757,0.15594577221952793,2.7606102050078727,9,100
second_collision_2d,rho2_profile_z0p5,chebyshev,theta,qGAN,24,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.15704539054388197,0.012365116658115752,0.0032937695281227736,0.00025846169197287286,0.15594577221952793,2.7605731414080337,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.6696033986360036,0.04874387730303807,0.17749636552607892,0.06710321210001258,0.6434811585853396,1.9627600244014765,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.6686639007599839,0.047615687648366434,0.18145666205217276,0.06750520361352268,0.6434811585853396,1.9686924916934982,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.6649861237330681,0.046427033477099575,0.1837733916629614,0.06694051247468044,0.6434811585853396,1.9732202585707235,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.6511247134187717,0.012495130675379478,0.02439013938043329,0.008174974953027499,0.6434811585853396,1.7659385310516174,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.6503653509796938,0.012311210134029187,0.02443558097732371,0.008598547749606094,0.6434811585853396,1.7664309896440962,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.6507534486745759,0.012286884516030164,0.02435861488010981,0.009056643011089167,0.6434811585853396,1.7664369738392764,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.6434388527617863,0.006266134835158376,0.01518059603947538,0.00237234383927876,0.6434811585853396,1.7598053003144363,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.6434300852067101,0.005881678078861606,0.014215555632630092,0.0024831643445938564,0.6434811585853396,1.7585952806234164,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.6434189194350249,0.0053963905231771275,0.014321206079670943,0.002298757733768437,0.6434811585853396,1.7590005799981898,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.6418603075354953,0.007511566445396724,0.003324927386271394,0.0005620172380523258,0.6434811585853396,1.7378714748588442,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.6421754556171316,0.007312096787092479,0.0024379383813767585,0.0004897292415432034,0.6434811585853396,1.7377632282448494,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,HN-MLP,8,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.6420557882263483,0.007286647188476443,0.0019049362191227671,0.00048373771302496343,0.6434811585853396,1.7373636881854795,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.690189333782223,0.06871255025934644,0.11469364922184638,0.047854637955582514,0.6530030974794915,1.1486549906036676,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.6901203976748482,0.07054217093215852,0.11459577397281855,0.04716419408037307,0.6530030974794915,1.1478390311890907,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.6905744072621641,0.07068143386146455,0.11411065883534308,0.04672577041443986,0.6530030974794915,1.147035087273302,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.6622503299984456,0.0339657546555604,0.07102882230693398,0.011423024423764971,0.6530030974794915,1.132629521510611,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.6633193518992885,0.03398209196347783,0.06988909284098756,0.010875719398957602,0.6530030974794915,1.1310268028209403,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.6629900866382356,0.03387481151060563,0.07010454592994182,0.010348200374492758,0.6530030974794915,1.1312849532403995,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.6476182590328419,0.024644406262396983,0.010024274550297401,0.001171501391999296,0.6530030974794915,1.0402225741656448,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.6478757235463052,0.024946777818228745,0.008934361238304916,0.0011772527450150186,0.6530030974794915,1.040892262869528,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.6476887498595032,0.02515774224937955,0.008293429647201804,0.0011179639723261567,0.6530030974794915,1.0404495078916556,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.6534116804558094,0.02430769262681104,0.00073265023684411,0.00017070888984793697,0.6530030974794915,1.0274080085939483,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.6535281595184692,0.024610792862946734,0.0006320575314800443,0.00017070888984793697,0.6530030974794915,1.0272273469861941,9,100
second_collision_2d,rho2_profile_z0p5,fft,cos_q,qGAN,8,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.65349858087574,0.024531429740224153,0.0005708162113805393,0.00017070888984793697,0.6530030974794915,1.0272696524036964,9,100
