source,backend,condition,n,harmonic_index,shots_per_round,epsilon_target,alpha,analytic_k1,statevector_cos,statevector_k1,cos_estimate,k1_estimate,abs_error_vs_analytic_k1,abs_error_vs_statevector_k1,statevector_abs_error_vs_analytic_k1,max_transpiled_depth,max_transpiled_ecr,max_transpiled_cz,amplitude_estimate,amplitude_ci_low,amplitude_ci_high,cos_ci_low,cos_ci_high,epsilon_estimated,num_oracle_queries,powers,ratios,iqae_rounds,max_grover_power,source_file,recovered_from_jobs
real_raw,ibm_berlin,runtime_raw,2,1,8192,0.005,0.05,-1.640601856706279,0.5553494065680916,-1.9291098572856649,0.4737598931337139,-1.6456934481639582,0.0050915914576792,0.2834164091217066,0.2885080005793858,4794,0,1125,0.263120053433143,0.2627775052162464,0.2634626016500397,0.4730747966999206,0.4744449895675071,0.0003425482168966,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T084040Z.csv,
real_raw,ibm_berlin,runtime_raw,3,1,8192,0.005,0.05,-1.640601856706279,0.5466334516883146,-1.825179940808173,0.4888234952179433,-1.632155579414209,0.0084462772920699,0.1930243613939639,0.184578084101894,12103,0,4311,0.2555882523910283,0.2552805887199602,0.2558959160620965,0.488208167875807,0.4894388225600796,0.0003076636710681,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T091538Z.csv,
real_raw,ibm_berlin,runtime_raw,4,1,8192,0.005,0.05,-1.640601856706279,0.5262812191518782,-1.6784493467444732,0.5288509372509214,-1.6866448542178487,0.0460429975115697,0.0081955074733754,0.0378474900381942,14372,0,4347,0.2355745313745393,0.2352885163547687,0.2358605463943099,0.52827890721138,0.5294229672904627,0.0002860150197706,180224,"[0, 0, 22]","[1.0, 45.0]",2,22,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T091538Z.csv,
real_raw,ibm_berlin,runtime_raw,5,1,8192,0.005,0.05,-1.640601856706279,0.5220517636129036,-1.6492437628624546,0.4330160957045205,-1.3679660616744258,0.2726357950318532,0.2812777011880287,0.0086419061561755,19317,0,6598,0.2834919521477397,0.2831013985060298,0.2838825057894497,0.4322349884211005,0.4337972029879404,0.0003905536417099,139264,"[0, 0, 17]","[1.0, 35.0]",2,17,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T092809Z.csv,
real_raw,ibm_berlin,runtime_raw,6,1,8192,0.005,0.05,-1.640601856706279,0.5211059198057202,-1.6427244325637949,0.3424890025195917,-1.079655845270558,0.560946011435721,0.5630685872932368,0.0021225758575158,30466,0,9691,0.3287554987402041,0.3284388835741422,0.329072113906266,0.3418557721874679,0.3431222328517155,0.0003166151660619,180224,"[0, 0, 22]","[1.0, 45.0]",2,22,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T094230Z.csv,
real_raw,ibm_berlin,runtime_raw,7,1,8192,0.005,0.05,-1.640601856706279,0.5210614370124688,-1.6417192827636076,0.3562918692931491,-1.1225763231763717,0.5180255335299073,0.5191429595872359,0.0011174260573285,37379,0,13381,0.3218540653534254,0.3215245382669306,0.3221835924399201,0.3556328151201597,0.3569509234661386,0.0003295270864947,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T095357Z.csv,
real_raw,ibm_berlin,runtime_raw,8,1,8192,0.005,0.05,-1.640601856706279,0.5185498809808726,-1.6335919276211652,0.3318699198698245,-1.04549252059249,0.5951093361137889,0.5880994070286751,0.0070099290851137,41011,0,13802,0.3340650400650877,0.3336784072634868,0.3344516728666886,0.3310966542666228,0.3326431854730263,0.0003866328016008,147456,"[0, 0, 18]","[1.0, 37.0]",2,18,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_runtime_20260706T100638Z.csv,
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,2,1,8192,0.005,0.05,-1.640601856706279,0.5553494065680916,-1.9291098572856649,0.5552565676655876,-1.9287873640231497,0.2881855073168706,0.0003224932625152,0.2885080005793858,5355,1241,0,0.2223717161672062,0.2220783891663537,0.2226650431680586,0.5546699136638826,0.5558432216672924,0.0002933270008524,172032,"[0, 0, 21]","[1.0, 43.0]",2,21,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073641Z.csv,
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,3,1,8192,0.005,0.05,-1.640601856706279,0.5466334516883146,-1.825179940808173,0.5469747175928421,-1.8263194094621709,0.1857175527558918,0.0011394686539978,0.184578084101894,15363,4421,0,0.2265126412035789,0.2261868760339697,0.2268384063731881,0.5463231872536237,0.5476262479320605,0.0003257651696091,155648,"[0, 0, 19]","[1.0, 39.0]",2,19,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073641Z.csv,
aer_ideal,ibm_yonsei,aer_ideal_backend_transpiled,4,1,8192,0.005,0.05,-1.640601856706279,0.5262812191518782,-1.6784493467444732,0.5262810338010335,-1.6784487556118377,0.0378468989055584,5.911326357299629e-07,0.0378474900381942,18200,6650,0,0.2368594830994832,0.236490814609791,0.2372281515891755,0.5255436968216489,0.527018370780418,0.0003686684896922,139264,"[0, 0, 17]","[1.0, 35.0]",2,17,experiments/nighthawk_backend_probe_20260702/outputs/hardware_workflow/iqae_chebyshev_k1_n2_8_aer_20260706T073641Z.csv,
